['AHAA64000', '安徽国胜大药房连锁有限公司太湖路店', '安徽省合肥市庐阳区阜阳北路428号景祥大厦12幢3-119、120室\n', '31.896180000000008,117.28688999999999']
['AHAA63987', '安徽国胜大药房连锁有限公司公园道一号店', '安徽省合肥市蜀山区十里店路公园道1号回迁楼1幢101室\n', '31.85897,117.22239']
['AHAA63981', '安徽国胜大药房连锁有限公司柏雅苑店', '安徽省合肥市高新区明珠路46号柏堰雅苑门面48室\n', '31.80464,117.16488']
['AHAA63995', '安徽国胜大药房连锁有限公司梦园小区店', '合肥市高新区梦园小区商城B座107号\n', '31.845229999999997,117.19987']
['AHAA63999', '安徽国胜大药房连锁有限公司荣城北苑店', '合肥市庐阳区荣成北苑连水社居委109门面\n', '31.92418,117.27214']
['AHAA63075', '安徽国胜大药房连锁有限公司华府骏苑店', '合肥市蜀山区望江西路与潜山路交口华府骏苑B区半地下商业及车库-1层196号\n', '31.829010000000007,117.23640999999999']
['AHAA63587', '安徽国胜大药房连锁有限公司潜山路店', '合肥市蜀山区潜山路399号汉嘉都市森林优仕领地3幢104、105室\n', '31.847310000000004,117.22880999999998']
['AHAA63076', '安徽国胜大药房连锁有限公司望江西路店', '安徽省合肥市蜀山区望江西路135号10号商住楼107、107-1、108、108-1门面\n', '31.830290000000005,117.24821']
['AHAA61880', '安徽省国胜大药房连锁有限公司史城店', '合肥市瑶海区龙岗开发区临泉东路史城社区景秀世家三期80幢商103\n', '31.87965,117.363686']
['AHAA61860', '安徽国胜大药房连锁有限公司荣城花园店', '安徽省合肥市庐阳区宿州路4号富世广场A座B区一层商铺商138、139号\n', '31.85979699999999,117.29061800000001']
['AHAA63073', '安徽国胜大药房连锁有限公司翠庭园店', '安徽省合肥市蜀山区龙图路与茂荫路交口香榭水都25幢105门面\n', '31.80459000000001,117.21460000000003']
['AHAA63071', '合肥市国胜大药房连锁有限公司史河路店', '安徽省合肥市蜀山区史河路凤凰城家家景园二期107/207室\n', '31.86098,117.23378']
['AHAA63074', '安徽国胜大药房连锁有限公司绿怡居店', '安徽省合肥市蜀山区东至路南绿怡居小区009#商铺\n', '31.82132,117.24346']
['AHAA63586', '安徽国胜大药房连锁有限公司临泉东路店', '合肥市瑶海区龙岗开发区龙湖花园14幢S101\n', '31.874838,117.383308']
